676,59
674,41
679,58
683,98
681,61
673,89
682,91
690,30
683,68
679,10
678,97
682,25
683,94
678,64
683,98
697,65
701,48
699,46
699,64
702,95
705,06
707,03
722,40
724,21
714,62
711,40
721,55
726,19
734,31
741,92
738,86
721,27
722,39
737,74
716,60
732,82
709,70
698,58
672,23
653,00
689,61
695,48
716,11
709,85
693,98
695,71
682,75
674,40
640,04
649,29
641,21
640,02
642,62
670,51
661,61
640,96
660,52
667,37
633,97
618,49
617,69
618,29
639,79
649,00
652,27
668,77
666,13
665,85
666,92
660,03
645,91
644,25
633,17
645,11
641,54
615,96
609,49
604,76
598,97
590,03
611,66
620,27
629,43
621,61
642,82
640,16
634,62
610,39
613,08
624,24
612,64
635,48
650,65
665,22
662,17
664,20
650,43
650,89
661,86
655,66
662,96
655,07
650,68
659,52
646,36
620,39
616,98
609,49
615,10
626,30
628,04
610,96
610,78
602,67
595,59
604,86
599,76
616,76
601,72
602,06
624,98
632,26
643,36
629,29
634,25
634,62
636,46
652,28
649,23
652,51
647,81
651,44
669,98
664,68
656,71
648,84
671,01
668,29
675,43
677,64
676,14
679,29
670,20
689,10
685,00
683,30
692,50
692,10
694,60
705,37
704,69
703,16
710,13
694,15
702,11
698,12
703,43
707,89
706,93
704,23
701,03
703,35
698,56
712,89
715,14
733,46
736,59
736,77
726,03
734,85
731,58
719,27
719,94
705,33
707,77
720,84
724,36
727,33
719,93
736,53
732,73
731,95
727,01
743,14
751,20
756,42
760,86
765,30
764,04
767,63
776,83
772,10
771,66
768,36
776,55
779,51
782,30
790,52
790,59
788,96
792,35
789,46
790,26
789,74
783,65
798,56
785,83
795,09
791,42
787,83
791,58
794,76
801,36
800,65
807,57
807,56
786,89
778,08
773,18
779,28
779,96
793,72
795,43
775,44
781,25
798,89
796,16
798,63
800,11
808,32
813,69
809,27
812,70
822,11
825,90
820,03
828,37
834,02
834,82
812,96
799,64
804,18
821,95
823,45
807,08
810,90
828,89
824,99
812,25
824,66
821,19
799,53
802,83
798,17
791,33
781,90
785,52
794,66
813,02
808,66
811,24
817,10
823,85
821,77
829,49
840,37
843,55
846,77
849,36
853,31
854,17
849,44
840,89
833,86
822,27
823,92
827,47
834,98
821,51
823,01
839,45
845,64
844,23
853,04
858,31
861,55
865,29
854,77
843,77
832,90
829,24
833,34
842,80
855,91
840,66
847,53
835,67
822,91
820,36
833,45
835,16
829,06
814,04
810,33
820,87
830,87
836,26
848,30
821,40
820,69
808,13
795,33
797,55
788,04
792,64
779,54
777,20
793,99
779,46
781,54
781,75
788,48
806,37
799,87
802,68
797,79
805,14
817,31
819,92
827,43
840,04
841,62
845,23
858,11
852,57
833,54
829,77
836,98
823,32
828,78
815,97
834,62
832,34
841,26
841,82
831,40
824,83
800,53
799,34
797,03
792,85
767,01
772,78
726,80
714,63
650,96
696,16
660,21
695,88
697,50
716,70
704,76
704,03
662,51
651,69
651,34
683,07
692,57
674,42
691,79
724,65
728,08
726,80
708,51
683,36
680,87
709,47
694,92
673,96
679,76
691,74
704,12
713,51
714,31
702,23
689,95
664,58
643,42
652,43
665,62
680,23
651,97
662,80
644,16
